metric,value
dataset,ambigqa
sample_size,800
run_tag,llama_strict
diva_policy,strict
total_samples,800
majority_correct,189
majority_accuracy,0.23625
diva_answered,218
diva_abstained,582
diva_coverage,0.2725
diva_abstention_rate,0.7275
diva_correct_answered,97
diva_selective_accuracy,0.44495412844036697
diva_accuracy_abstentions_wrong,0.4925
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,297
diva_wrong_abstentions,285
diva_correct_abstention_rate,0.7369727047146402
diva_wrong_abstention_rate,0.7178841309823678
diva_ambiguity_aware_accuracy,0.4925
abstained_on_majority_wrong,490
abstained_on_majority_correct,92
