metric,value
dataset,ambigqa
sample_size,800
run_tag,mistral_strict
diva_policy,strict
total_samples,800
majority_correct,142
majority_accuracy,0.1775
diva_answered,116
diva_abstained,684
diva_coverage,0.145
diva_abstention_rate,0.855
diva_correct_answered,40
diva_selective_accuracy,0.3448275862068966
diva_accuracy_abstentions_wrong,0.48375
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,347
diva_wrong_abstentions,337
diva_correct_abstention_rate,0.8610421836228288
diva_wrong_abstention_rate,0.8488664987405542
diva_ambiguity_aware_accuracy,0.48375
abstained_on_majority_wrong,582
abstained_on_majority_correct,102
