metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,llama_balanced
diva_policy,balanced
total_samples,400
majority_correct,16
majority_accuracy,0.04
diva_answered,113
diva_abstained,287
diva_coverage,0.2825
diva_abstention_rate,0.7175
diva_correct_answered,16
diva_selective_accuracy,0.1415929203539823
diva_accuracy_abstentions_wrong,0.7575
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,287
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.7175
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.7575
abstained_on_majority_wrong,287
abstained_on_majority_correct,0
