metric,value
total_samples,800
majority_correct,691
majority_accuracy,0.86375
oracle_correct,739
oracle_accuracy,0.92375
overconfidence_threshold,0.8
literal_correct,645
literal_wrong,130
literal_abstained,25
literal_accuracy,0.80625
literal_answered,775
literal_selective_accuracy,0.832258064516129
literal_abstention_rate,0.03125
literal_overconfident_wrong,130
literal_overconfident_error_rate,1.0
skeptic_correct,474
skeptic_wrong,297
skeptic_abstained,29
skeptic_accuracy,0.5925
skeptic_answered,771
skeptic_selective_accuracy,0.6147859922178989
skeptic_abstention_rate,0.03625
skeptic_overconfident_wrong,256
skeptic_overconfident_error_rate,0.8619528619528619
creative_correct,509
creative_wrong,234
creative_abstained,57
creative_accuracy,0.63625
creative_answered,743
creative_selective_accuracy,0.6850605652759085
creative_abstention_rate,0.07125
creative_overconfident_wrong,234
creative_overconfident_error_rate,1.0
evidence_correct,488
evidence_wrong,53
evidence_abstained,259
evidence_accuracy,0.61
evidence_answered,541
evidence_selective_accuracy,0.9020332717190388
evidence_abstention_rate,0.32375
evidence_overconfident_wrong,52
evidence_overconfident_error_rate,0.9811320754716981
