metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,llama_strict
diva_policy,strict
total_samples,400
majority_correct,16
majority_accuracy,0.04
diva_answered,70
diva_abstained,330
diva_coverage,0.175
diva_abstention_rate,0.825
diva_correct_answered,16
diva_selective_accuracy,0.22857142857142856
diva_accuracy_abstentions_wrong,0.865
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,330
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.825
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.865
abstained_on_majority_wrong,330
abstained_on_majority_correct,0
