metric,value
dataset,ambigqa
sample_size,800
run_tag,llama_balanced
diva_policy,balanced
total_samples,800
majority_correct,189
majority_accuracy,0.23625
diva_answered,294
diva_abstained,506
diva_coverage,0.3675
diva_abstention_rate,0.6325
diva_correct_answered,120
diva_selective_accuracy,0.40816326530612246
diva_accuracy_abstentions_wrong,0.475
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,260
diva_wrong_abstentions,246
diva_correct_abstention_rate,0.6451612903225806
diva_wrong_abstention_rate,0.6196473551637279
diva_ambiguity_aware_accuracy,0.475
abstained_on_majority_wrong,437
abstained_on_majority_correct,69
