metric,value
config,temp
sample_size_per_split,400
combined_total,800
raw_total,400
raw_majority_correct,14
raw_majority_accuracy,0.035
raw_oracle_correct,317
raw_oracle_accuracy,0.7925
raw_diva_correct,162
raw_diva_accuracy,0.405
raw_diva_abstention_rate,0.37
clarified_total,400
clarified_majority_correct,126
clarified_majority_accuracy,0.315
clarified_oracle_correct,167
clarified_oracle_accuracy,0.4175
clarified_diva_correct,126
clarified_diva_accuracy,0.315
clarified_diva_abstention_rate,0.0
combined_majority_correct,140
combined_majority_accuracy,0.175
combined_oracle_correct,484
combined_oracle_accuracy,0.605
combined_diva_correct,288
combined_diva_accuracy,0.36
