metric,value
dataset,ambigqa
sample_size,800
run_tag,gemma_lenient
diva_policy,lenient
total_samples,800
majority_correct,115
majority_accuracy,0.14375
diva_answered,259
diva_abstained,541
diva_coverage,0.32375
diva_abstention_rate,0.67625
diva_correct_answered,48
diva_selective_accuracy,0.18532818532818532
diva_accuracy_abstentions_wrong,0.39875
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,271
diva_wrong_abstentions,270
diva_correct_abstention_rate,0.6724565756823822
diva_wrong_abstention_rate,0.6801007556675063
diva_ambiguity_aware_accuracy,0.39875
abstained_on_majority_wrong,474
abstained_on_majority_correct,67
