metric,value
dataset,ambigqa
sample_size,800
run_tag,mistral_balanced
diva_policy,balanced
total_samples,800
majority_correct,142
majority_accuracy,0.1775
diva_answered,206
diva_abstained,594
diva_coverage,0.2575
diva_abstention_rate,0.7425
diva_correct_answered,65
diva_selective_accuracy,0.3155339805825243
diva_accuracy_abstentions_wrong,0.45875
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,302
diva_wrong_abstentions,292
diva_correct_abstention_rate,0.749379652605459
diva_wrong_abstention_rate,0.7355163727959698
diva_ambiguity_aware_accuracy,0.45875
abstained_on_majority_wrong,517
abstained_on_majority_correct,77
