metric,value
total_samples,50
majority_correct,11
majority_accuracy,0.22
oracle_correct,12
oracle_accuracy,0.24
overconfidence_threshold,0.8
ambiguous_total,25
answerable_total,25
correct_abstentions,14
wrong_abstentions,23
literal_correct,10
literal_wrong,29
literal_abstained,11
literal_accuracy,0.2
literal_answered,39
literal_selective_accuracy,0.2564102564102564
literal_abstention_rate,0.22
literal_overconfident_wrong,29
literal_overconfident_error_rate,1.0
skeptic_correct,9
skeptic_wrong,30
skeptic_abstained,11
skeptic_accuracy,0.18
skeptic_answered,39
skeptic_selective_accuracy,0.23076923076923078
skeptic_abstention_rate,0.22
skeptic_overconfident_wrong,26
skeptic_overconfident_error_rate,0.8666666666666667
creative_correct,8
creative_wrong,39
creative_abstained,3
creative_accuracy,0.16
creative_answered,47
creative_selective_accuracy,0.1702127659574468
creative_abstention_rate,0.06
creative_overconfident_wrong,33
creative_overconfident_error_rate,0.8461538461538461
evidence_correct,9
evidence_wrong,29
evidence_abstained,12
evidence_accuracy,0.18
evidence_answered,38
evidence_selective_accuracy,0.23684210526315788
evidence_abstention_rate,0.24
evidence_overconfident_wrong,27
evidence_overconfident_error_rate,0.9310344827586207
