metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,gemma_balanced
diva_policy,balanced
total_samples,400
majority_correct,8
majority_accuracy,0.02
diva_answered,41
diva_abstained,359
diva_coverage,0.1025
diva_abstention_rate,0.8975
diva_correct_answered,8
diva_selective_accuracy,0.1951219512195122
diva_accuracy_abstentions_wrong,0.9175
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,359
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.8975
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.9175
abstained_on_majority_wrong,359
abstained_on_majority_correct,0
