metric,value
config,temp
sample_size_per_split,50
combined_total,100
raw_total,50
raw_majority_correct,0
raw_majority_accuracy,0.0
raw_oracle_correct,25
raw_oracle_accuracy,0.5
raw_diva_correct,36
raw_diva_accuracy,0.72
raw_diva_abstention_rate,0.72
clarified_total,50
clarified_majority_correct,18
clarified_majority_accuracy,0.36
clarified_oracle_correct,26
clarified_oracle_accuracy,0.52
clarified_diva_correct,18
clarified_diva_accuracy,0.36
clarified_diva_abstention_rate,0.0
combined_majority_correct,18
combined_majority_accuracy,0.18
combined_oracle_correct,51
combined_oracle_accuracy,0.51
combined_diva_correct,54
combined_diva_accuracy,0.54
