metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,gemma_lenient
diva_policy,lenient
total_samples,400
majority_correct,8
majority_accuracy,0.02
diva_answered,129
diva_abstained,271
diva_coverage,0.3225
diva_abstention_rate,0.6775
diva_correct_answered,8
diva_selective_accuracy,0.06201550387596899
diva_accuracy_abstentions_wrong,0.6975
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,271
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.6775
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.6975
abstained_on_majority_wrong,271
abstained_on_majority_correct,0
