metric,value
total_samples,800
evaluation_mode,abstention_only
majority_correct,270
majority_accuracy,0.3375
oracle_correct,457
oracle_accuracy,0.57125
overconfidence_threshold,0.8
ambiguous_total,800
answerable_total,0
literal_correct,199
literal_wrong,601
literal_abstained,199
literal_accuracy,0.24875
literal_answered,601
literal_selective_accuracy,0.33111480865224624
literal_abstention_rate,0.24875
literal_overconfident_wrong,569
literal_overconfident_error_rate,0.9467554076539102
skeptic_correct,302
skeptic_wrong,498
skeptic_abstained,302
skeptic_accuracy,0.3775
skeptic_answered,498
skeptic_selective_accuracy,0.606425702811245
skeptic_abstention_rate,0.3775
skeptic_overconfident_wrong,384
skeptic_overconfident_error_rate,0.7710843373493976
creative_correct,51
creative_wrong,749
creative_abstained,51
creative_accuracy,0.06375
creative_answered,749
creative_selective_accuracy,0.06809078771695594
creative_abstention_rate,0.06375
creative_overconfident_wrong,707
creative_overconfident_error_rate,0.9439252336448598
evidence_correct,329
evidence_wrong,471
evidence_abstained,329
evidence_accuracy,0.41125
evidence_answered,471
evidence_selective_accuracy,0.6985138004246284
evidence_abstention_rate,0.41125
evidence_overconfident_wrong,435
evidence_overconfident_error_rate,0.9235668789808917
