metric,value
config,temp
sample_size_per_split,400
combined_total,800
raw_total,400
raw_majority_correct,16
raw_majority_accuracy,0.04
raw_oracle_correct,234
raw_oracle_accuracy,0.585
raw_diva_correct,303
raw_diva_accuracy,0.7575
raw_diva_abstention_rate,0.7175
clarified_total,400
clarified_majority_correct,135
clarified_majority_accuracy,0.3375
clarified_oracle_correct,173
clarified_oracle_accuracy,0.4325
clarified_diva_correct,132
clarified_diva_accuracy,0.33
clarified_diva_abstention_rate,0.0
combined_majority_correct,151
combined_majority_accuracy,0.18875
combined_oracle_correct,407
combined_oracle_accuracy,0.50875
combined_diva_correct,435
combined_diva_accuracy,0.54375
