metric,value
total_samples,400
evaluation_mode,answer_accuracy
majority_correct,126
majority_accuracy,0.315
oracle_correct,167
oracle_accuracy,0.4175
overconfidence_threshold,0.8
ambiguous_total,0
answerable_total,400
literal_correct,99
literal_wrong,301
literal_abstained,64
literal_accuracy,0.2475
literal_answered,336
literal_selective_accuracy,0.29464285714285715
literal_abstention_rate,0.16
literal_overconfident_wrong,162
literal_overconfident_error_rate,0.5382059800664452
skeptic_correct,106
skeptic_wrong,294
skeptic_abstained,16
skeptic_accuracy,0.265
skeptic_answered,384
skeptic_selective_accuracy,0.2760416666666667
skeptic_abstention_rate,0.04
skeptic_overconfident_wrong,210
skeptic_overconfident_error_rate,0.7142857142857143
creative_correct,99
creative_wrong,301
creative_abstained,21
creative_accuracy,0.2475
creative_answered,379
creative_selective_accuracy,0.2612137203166227
creative_abstention_rate,0.0525
creative_overconfident_wrong,197
creative_overconfident_error_rate,0.654485049833887
evidence_correct,93
evidence_wrong,307
evidence_abstained,102
evidence_accuracy,0.2325
evidence_answered,298
evidence_selective_accuracy,0.31208053691275167
evidence_abstention_rate,0.255
evidence_overconfident_wrong,18
evidence_overconfident_error_rate,0.05863192182410423
