metric,value
total_samples,50
evaluation_mode,abstention_only
majority_correct,13
majority_accuracy,0.26
oracle_correct,25
oracle_accuracy,0.5
overconfidence_threshold,0.8
ambiguous_total,50
answerable_total,0
literal_correct,8
literal_wrong,42
literal_abstained,8
literal_accuracy,0.16
literal_answered,42
literal_selective_accuracy,0.19047619047619047
literal_abstention_rate,0.16
literal_overconfident_wrong,41
literal_overconfident_error_rate,0.9761904761904762
skeptic_correct,13
skeptic_wrong,37
skeptic_abstained,13
skeptic_accuracy,0.26
skeptic_answered,37
skeptic_selective_accuracy,0.35135135135135137
skeptic_abstention_rate,0.26
skeptic_overconfident_wrong,32
skeptic_overconfident_error_rate,0.8648648648648649
creative_correct,0
creative_wrong,50
creative_abstained,0
creative_accuracy,0.0
creative_answered,50
creative_selective_accuracy,0.0
creative_abstention_rate,0.0
creative_overconfident_wrong,47
creative_overconfident_error_rate,0.94
evidence_correct,19
evidence_wrong,31
evidence_abstained,19
evidence_accuracy,0.38
evidence_answered,31
evidence_selective_accuracy,0.6129032258064516
evidence_abstention_rate,0.38
evidence_overconfident_wrong,26
evidence_overconfident_error_rate,0.8387096774193549
