metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,mistral_strict
diva_policy,strict
total_samples,400
majority_correct,14
majority_accuracy,0.035
diva_answered,34
diva_abstained,366
diva_coverage,0.085
diva_abstention_rate,0.915
diva_correct_answered,14
diva_selective_accuracy,0.4117647058823529
diva_accuracy_abstentions_wrong,0.95
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,366
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.915
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.95
abstained_on_majority_wrong,366
abstained_on_majority_correct,0
