metric,value
config,temp
sample_size_per_split,400
combined_total,800
raw_total,400
raw_majority_correct,8
raw_majority_accuracy,0.02
raw_oracle_correct,352
raw_oracle_accuracy,0.88
raw_diva_correct,367
raw_diva_accuracy,0.9175
raw_diva_abstention_rate,0.8975
clarified_total,400
clarified_majority_correct,89
clarified_majority_accuracy,0.2225
clarified_oracle_correct,118
clarified_oracle_accuracy,0.295
clarified_diva_correct,88
clarified_diva_accuracy,0.22
clarified_diva_abstention_rate,0.0
combined_majority_correct,97
combined_majority_accuracy,0.12125
combined_oracle_correct,470
combined_oracle_accuracy,0.5875
combined_diva_correct,455
combined_diva_accuracy,0.56875
