metric,value
total_samples,800
majority_correct,189
majority_accuracy,0.23625
oracle_correct,201
oracle_accuracy,0.25125
overconfidence_threshold,0.8
ambiguous_total,403
answerable_total,397
correct_abstentions,420
wrong_abstentions,353
literal_correct,154
literal_wrong,479
literal_abstained,167
literal_accuracy,0.1925
literal_answered,633
literal_selective_accuracy,0.24328593996840442
literal_abstention_rate,0.20875
literal_overconfident_wrong,466
literal_overconfident_error_rate,0.9728601252609603
skeptic_correct,131
skeptic_wrong,428
skeptic_abstained,241
skeptic_accuracy,0.16375
skeptic_answered,559
skeptic_selective_accuracy,0.23434704830053668
skeptic_abstention_rate,0.30125
skeptic_overconfident_wrong,372
skeptic_overconfident_error_rate,0.8691588785046729
creative_correct,157
creative_wrong,591
creative_abstained,52
creative_accuracy,0.19625
creative_answered,748
creative_selective_accuracy,0.20989304812834225
creative_abstention_rate,0.065
creative_overconfident_wrong,556
creative_overconfident_error_rate,0.9407783417935702
evidence_correct,129
evidence_wrong,358
evidence_abstained,313
evidence_accuracy,0.16125
evidence_answered,487
evidence_selective_accuracy,0.2648870636550308
evidence_abstention_rate,0.39125
evidence_overconfident_wrong,328
evidence_overconfident_error_rate,0.9162011173184358
