metric,value
dataset,ambigqa
sample_size,800
run_tag,mistral_lenient
diva_policy,lenient
total_samples,800
majority_correct,142
majority_accuracy,0.1775
diva_answered,508
diva_abstained,292
diva_coverage,0.635
diva_abstention_rate,0.365
diva_correct_answered,104
diva_selective_accuracy,0.2047244094488189
diva_accuracy_abstentions_wrong,0.30375
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,139
diva_wrong_abstentions,153
diva_correct_abstention_rate,0.34491315136476425
diva_wrong_abstention_rate,0.3853904282115869
diva_ambiguity_aware_accuracy,0.30375
abstained_on_majority_wrong,254
abstained_on_majority_correct,38
