metric,value
dataset,ambigqa
sample_size,800
run_tag,gemma_balanced
diva_policy,balanced
total_samples,800
majority_correct,115
majority_accuracy,0.14375
diva_answered,106
diva_abstained,694
diva_coverage,0.1325
diva_abstention_rate,0.8675
diva_correct_answered,29
diva_selective_accuracy,0.27358490566037735
diva_accuracy_abstentions_wrong,0.47125
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,348
diva_wrong_abstentions,346
diva_correct_abstention_rate,0.8635235732009926
diva_wrong_abstention_rate,0.871536523929471
diva_ambiguity_aware_accuracy,0.47125
abstained_on_majority_wrong,608
abstained_on_majority_correct,86
