metric,value
total_samples,800
majority_correct,142
majority_accuracy,0.1775
oracle_correct,159
oracle_accuracy,0.19875
overconfidence_threshold,0.8
ambiguous_total,403
answerable_total,397
correct_abstentions,367
wrong_abstentions,352
literal_correct,113
literal_wrong,490
literal_abstained,197
literal_accuracy,0.14125
literal_answered,603
literal_selective_accuracy,0.18739635157545606
literal_abstention_rate,0.24625
literal_overconfident_wrong,446
literal_overconfident_error_rate,0.9102040816326531
skeptic_correct,102
skeptic_wrong,633
skeptic_abstained,65
skeptic_accuracy,0.1275
skeptic_answered,735
skeptic_selective_accuracy,0.13877551020408163
skeptic_abstention_rate,0.08125
skeptic_overconfident_wrong,612
skeptic_overconfident_error_rate,0.966824644549763
creative_correct,90
creative_wrong,641
creative_abstained,69
creative_accuracy,0.1125
creative_answered,731
creative_selective_accuracy,0.12311901504787962
creative_abstention_rate,0.08625
creative_overconfident_wrong,564
creative_overconfident_error_rate,0.8798751950078003
evidence_correct,82
evidence_wrong,330
evidence_abstained,388
evidence_accuracy,0.1025
evidence_answered,412
evidence_selective_accuracy,0.19902912621359223
evidence_abstention_rate,0.485
evidence_overconfident_wrong,98
evidence_overconfident_error_rate,0.296969696969697
