metric,value
total_samples,800
majority_correct,567
majority_accuracy,0.70875
oracle_correct,694
oracle_accuracy,0.8675
overconfidence_threshold,0.8
literal_correct,575
literal_wrong,218
literal_abstained,7
literal_accuracy,0.71875
literal_answered,793
literal_selective_accuracy,0.725094577553594
literal_abstention_rate,0.00875
literal_overconfident_wrong,170
literal_overconfident_error_rate,0.7798165137614679
skeptic_correct,562
skeptic_wrong,237
skeptic_abstained,1
skeptic_accuracy,0.7025
skeptic_answered,799
skeptic_selective_accuracy,0.7033792240300375
skeptic_abstention_rate,0.00125
skeptic_overconfident_wrong,97
skeptic_overconfident_error_rate,0.4092827004219409
creative_correct,549
creative_wrong,249
creative_abstained,2
creative_accuracy,0.68625
creative_answered,798
creative_selective_accuracy,0.6879699248120301
creative_abstention_rate,0.0025
creative_overconfident_wrong,189
creative_overconfident_error_rate,0.7590361445783133
evidence_correct,534
evidence_wrong,235
evidence_abstained,31
evidence_accuracy,0.6675
evidence_answered,769
evidence_selective_accuracy,0.694408322496749
evidence_abstention_rate,0.03875
evidence_overconfident_wrong,113
evidence_overconfident_error_rate,0.4808510638297872
