metric,value
total_samples,50
evaluation_mode,answer_accuracy
majority_correct,18
majority_accuracy,0.36
oracle_correct,26
oracle_accuracy,0.52
overconfidence_threshold,0.8
ambiguous_total,0
answerable_total,50
literal_correct,20
literal_wrong,30
literal_abstained,3
literal_accuracy,0.4
literal_answered,47
literal_selective_accuracy,0.425531914893617
literal_abstention_rate,0.06
literal_overconfident_wrong,27
literal_overconfident_error_rate,0.9
skeptic_correct,17
skeptic_wrong,33
skeptic_abstained,2
skeptic_accuracy,0.34
skeptic_answered,48
skeptic_selective_accuracy,0.3541666666666667
skeptic_abstention_rate,0.04
skeptic_overconfident_wrong,26
skeptic_overconfident_error_rate,0.7878787878787878
creative_correct,14
creative_wrong,36
creative_abstained,2
creative_accuracy,0.28
creative_answered,48
creative_selective_accuracy,0.2916666666666667
creative_abstention_rate,0.04
creative_overconfident_wrong,35
creative_overconfident_error_rate,0.9722222222222222
evidence_correct,14
evidence_wrong,36
evidence_abstained,7
evidence_accuracy,0.28
evidence_answered,43
evidence_selective_accuracy,0.32558139534883723
evidence_abstention_rate,0.14
evidence_overconfident_wrong,27
evidence_overconfident_error_rate,0.75
