metric,value
total_samples,400
evaluation_mode,abstention_only
majority_correct,196
majority_accuracy,0.49
oracle_correct,352
oracle_accuracy,0.88
overconfidence_threshold,0.8
ambiguous_total,400
answerable_total,0
literal_correct,17
literal_wrong,383
literal_abstained,17
literal_accuracy,0.0425
literal_answered,383
literal_selective_accuracy,0.044386422976501305
literal_abstention_rate,0.0425
literal_overconfident_wrong,376
literal_overconfident_error_rate,0.9817232375979112
skeptic_correct,325
skeptic_wrong,75
skeptic_abstained,325
skeptic_accuracy,0.8125
skeptic_answered,75
skeptic_selective_accuracy,4.333333333333333
skeptic_abstention_rate,0.8125
skeptic_overconfident_wrong,3
skeptic_overconfident_error_rate,0.04
creative_correct,67
creative_wrong,333
creative_abstained,67
creative_accuracy,0.1675
creative_answered,333
creative_selective_accuracy,0.2012012012012012
creative_abstention_rate,0.1675
creative_overconfident_wrong,280
creative_overconfident_error_rate,0.8408408408408409
evidence_correct,209
evidence_wrong,191
evidence_abstained,209
evidence_accuracy,0.5225
evidence_answered,191
evidence_selective_accuracy,1.094240837696335
evidence_abstention_rate,0.5225
evidence_overconfident_wrong,144
evidence_overconfident_error_rate,0.7539267015706806
