metric,value
total_samples,800
majority_correct,115
majority_accuracy,0.14375
oracle_correct,120
oracle_accuracy,0.15
overconfidence_threshold,0.8
ambiguous_total,403
answerable_total,397
correct_abstentions,585
wrong_abstentions,598
literal_correct,90
literal_wrong,659
literal_abstained,51
literal_accuracy,0.1125
literal_answered,749
literal_selective_accuracy,0.12016021361815754
literal_abstention_rate,0.06375
literal_overconfident_wrong,649
literal_overconfident_error_rate,0.9848254931714719
skeptic_correct,23
skeptic_wrong,155
skeptic_abstained,622
skeptic_accuracy,0.02875
skeptic_answered,178
skeptic_selective_accuracy,0.12921348314606743
skeptic_abstention_rate,0.7775
skeptic_overconfident_wrong,31
skeptic_overconfident_error_rate,0.2
creative_correct,91
creative_wrong,607
creative_abstained,102
creative_accuracy,0.11375
creative_answered,698
creative_selective_accuracy,0.1303724928366762
creative_abstention_rate,0.1275
creative_overconfident_wrong,487
creative_overconfident_error_rate,0.8023064250411862
evidence_correct,67
evidence_wrong,325
evidence_abstained,408
evidence_accuracy,0.08375
evidence_answered,392
evidence_selective_accuracy,0.17091836734693877
evidence_abstention_rate,0.51
evidence_overconfident_wrong,284
evidence_overconfident_error_rate,0.8738461538461538
