metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,mistral_lenient
diva_policy,lenient
total_samples,400
majority_correct,14
majority_accuracy,0.035
diva_answered,252
diva_abstained,148
diva_coverage,0.63
diva_abstention_rate,0.37
diva_correct_answered,14
diva_selective_accuracy,0.05555555555555555
diva_accuracy_abstentions_wrong,0.405
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,148
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.37
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.405
abstained_on_majority_wrong,148
abstained_on_majority_correct,0
