metric,value
total_samples,400
evaluation_mode,abstention_only
majority_correct,229
majority_accuracy,0.5725
oracle_correct,317
oracle_accuracy,0.7925
overconfidence_threshold,0.8
ambiguous_total,400
answerable_total,0
literal_correct,170
literal_wrong,230
literal_abstained,170
literal_accuracy,0.425
literal_answered,230
literal_selective_accuracy,0.7391304347826086
literal_abstention_rate,0.425
literal_overconfident_wrong,215
literal_overconfident_error_rate,0.9347826086956522
skeptic_correct,45
skeptic_wrong,355
skeptic_abstained,45
skeptic_accuracy,0.1125
skeptic_answered,355
skeptic_selective_accuracy,0.1267605633802817
skeptic_abstention_rate,0.1125
skeptic_overconfident_wrong,346
skeptic_overconfident_error_rate,0.9746478873239437
creative_correct,43
creative_wrong,357
creative_abstained,43
creative_accuracy,0.1075
creative_answered,357
creative_selective_accuracy,0.12044817927170869
creative_abstention_rate,0.1075
creative_overconfident_wrong,293
creative_overconfident_error_rate,0.8207282913165266
evidence_correct,298
evidence_wrong,102
evidence_abstained,298
evidence_accuracy,0.745
evidence_answered,102
evidence_selective_accuracy,2.9215686274509802
evidence_abstention_rate,0.745
evidence_overconfident_wrong,31
evidence_overconfident_error_rate,0.30392156862745096
