metric,value
dataset,ambigqa
sample_size,800
run_tag,gemma_strict
diva_policy,strict
total_samples,800
majority_correct,115
majority_accuracy,0.14375
diva_answered,69
diva_abstained,731
diva_coverage,0.08625
diva_abstention_rate,0.91375
diva_correct_answered,23
diva_selective_accuracy,0.3333333333333333
diva_accuracy_abstentions_wrong,0.48625
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,366
diva_wrong_abstentions,365
diva_correct_abstention_rate,0.9081885856079405
diva_wrong_abstention_rate,0.9193954659949622
diva_ambiguity_aware_accuracy,0.48625
abstained_on_majority_wrong,639
abstained_on_majority_correct,92
