metric,value
dataset,situatedqa_temp_clarified
sample_size,400
run_tag,gemma_lenient
diva_policy,lenient
total_samples,400
majority_correct,89
majority_accuracy,0.2225
diva_answered,400
diva_abstained,0
diva_coverage,1.0
diva_abstention_rate,0.0
diva_correct_answered,88
diva_selective_accuracy,0.22
diva_accuracy_abstentions_wrong,0.22
ambiguous_total,0
answerable_total,400
diva_correct_abstentions,0
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.0
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.22
abstained_on_majority_wrong,0
abstained_on_majority_correct,0
