metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,mistral_balanced
diva_policy,balanced
total_samples,400
majority_correct,14
majority_accuracy,0.035
diva_answered,57
diva_abstained,343
diva_coverage,0.1425
diva_abstention_rate,0.8575
diva_correct_answered,14
diva_selective_accuracy,0.24561403508771928
diva_accuracy_abstentions_wrong,0.8925
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,343
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.8575
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.8925
abstained_on_majority_wrong,343
abstained_on_majority_correct,0
