metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,llama_lenient
diva_policy,lenient
total_samples,400
majority_correct,16
majority_accuracy,0.04
diva_answered,260
diva_abstained,140
diva_coverage,0.65
diva_abstention_rate,0.35
diva_correct_answered,16
diva_selective_accuracy,0.06153846153846154
diva_accuracy_abstentions_wrong,0.39
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,140
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.35
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.39
abstained_on_majority_wrong,140
abstained_on_majority_correct,0
