metric,value
dataset,ambigqa
sample_size,800
run_tag,llama_lenient
diva_policy,lenient
total_samples,800
majority_correct,189
majority_accuracy,0.23625
diva_answered,506
diva_abstained,294
diva_coverage,0.6325
diva_abstention_rate,0.3675
diva_correct_answered,141
diva_selective_accuracy,0.27865612648221344
diva_accuracy_abstentions_wrong,0.3625
ambiguous_total,403
answerable_total,397
diva_correct_abstentions,149
diva_wrong_abstentions,145
diva_correct_abstention_rate,0.369727047146402
diva_wrong_abstention_rate,0.36523929471032746
diva_ambiguity_aware_accuracy,0.3625
abstained_on_majority_wrong,247
abstained_on_majority_correct,47
