metric,value
total_samples,800
majority_correct,26
majority_accuracy,0.0325
oracle_correct,0
oracle_accuracy,0.0
overconfidence_threshold,0.8
ambiguous_total,800
answerable_total,0
correct_abstentions,1179
wrong_abstentions,0
literal_correct,0
literal_wrong,737
literal_abstained,63
literal_accuracy,0.0
literal_answered,737
literal_selective_accuracy,0.0
literal_abstention_rate,0.07875
literal_overconfident_wrong,734
literal_overconfident_error_rate,0.9959294436906377
skeptic_correct,0
skeptic_wrong,166
skeptic_abstained,634
skeptic_accuracy,0.0
skeptic_answered,166
skeptic_selective_accuracy,0.0
skeptic_abstention_rate,0.7925
skeptic_overconfident_wrong,19
skeptic_overconfident_error_rate,0.1144578313253012
creative_correct,0
creative_wrong,717
creative_abstained,83
creative_accuracy,0.0
creative_answered,717
creative_selective_accuracy,0.0
creative_abstention_rate,0.10375
creative_overconfident_wrong,561
creative_overconfident_error_rate,0.7824267782426778
evidence_correct,0
evidence_wrong,401
evidence_abstained,399
evidence_accuracy,0.0
evidence_answered,401
evidence_selective_accuracy,0.0
evidence_abstention_rate,0.49875
evidence_overconfident_wrong,360
evidence_overconfident_error_rate,0.8977556109725686
