metric,value
dataset,situatedqa_temp_raw
sample_size,400
run_tag,gemma_strict
diva_policy,strict
total_samples,400
majority_correct,8
majority_accuracy,0.02
diva_answered,29
diva_abstained,371
diva_coverage,0.0725
diva_abstention_rate,0.9275
diva_correct_answered,8
diva_selective_accuracy,0.27586206896551724
diva_accuracy_abstentions_wrong,0.9475
ambiguous_total,400
answerable_total,0
diva_correct_abstentions,371
diva_wrong_abstentions,0
diva_correct_abstention_rate,0.9275
diva_wrong_abstention_rate,0.0
diva_ambiguity_aware_accuracy,0.9475
abstained_on_majority_wrong,371
abstained_on_majority_correct,0
