metric,value
total_samples,400
evaluation_mode,answer_accuracy
majority_correct,89
majority_accuracy,0.2225
oracle_correct,118
oracle_accuracy,0.295
overconfidence_threshold,0.8
ambiguous_total,0
answerable_total,400
literal_correct,82
literal_wrong,318
literal_abstained,22
literal_accuracy,0.205
literal_answered,378
literal_selective_accuracy,0.21693121693121692
literal_abstention_rate,0.055
literal_overconfident_wrong,294
literal_overconfident_error_rate,0.9245283018867925
skeptic_correct,60
skeptic_wrong,340
skeptic_abstained,164
skeptic_accuracy,0.15
skeptic_answered,236
skeptic_selective_accuracy,0.2542372881355932
skeptic_abstention_rate,0.41
skeptic_overconfident_wrong,11
skeptic_overconfident_error_rate,0.03235294117647059
creative_correct,84
creative_wrong,316
creative_abstained,38
creative_accuracy,0.21
creative_answered,362
creative_selective_accuracy,0.23204419889502761
creative_abstention_rate,0.095
creative_overconfident_wrong,293
creative_overconfident_error_rate,0.9272151898734177
evidence_correct,49
evidence_wrong,351
evidence_abstained,252
evidence_accuracy,0.1225
evidence_answered,148
evidence_selective_accuracy,0.3310810810810811
evidence_abstention_rate,0.63
evidence_overconfident_wrong,90
evidence_overconfident_error_rate,0.2564102564102564
